Part number;Size;Colour;Barcode;File name;Short description;Long description;RRP;VAT;Trade;Box Qty;Brand;Search 1;Search 2;Cat A;Cat B;Cat C;Year;Item group;Retail group;Product group;Net price 440056;Net price 450141;Net price 411578
"300000036";OSO;Black;"4718905793106";;MY17 ANTHEM & TRANCE & PIQUE & HAIL REAR Thru-Axle;;24.99;20,00;13.54;1;Giant;QR skewer;;Gear;Component-S;Men's;2022;158A;;17anththruax;13,54;13,54;13,54
"300000044";OSO;Black;"4713250807713";;SEALANT CHECK & REFILL SYRINGE;;9.99;20,00;5.41;1;Giant;Hub;;Gear;Component-S;Men's;2022;158B;;18SealantRefill;5,41;5,41;5,41
"300000045";100ml;Black;"4713250807720";;TYREMOUNTING LUBRICANTS;;9.99;20,00;5.41;1;Giant;Hub;;Gear;Component-S;Men's;2022;158B;;18lube100ml;5,41;5,41;5,41
"300000046";OSO;Black;"4713250807737";;TIRE PATCH KIT-SLICK TIRE;;14.99;20,00;8.12;1;GIANT;Hub;;Gear;Component-S;Men's;2020;158B;;;8,12;8,12;8,12
"300000048";OSO;Black;"4713250810669";;TIRE PLUGS-TREADED TIRE;;9.99;20,00;5.41;1;Giant;Hub;;Gear;Component-S;Men's;2022;158B;;18tyreplugs;5,41;5,41;5,41
"300000051";;;"4713250851709";;CADEX TITANIUM ROAD SKEWERS FRONT & REAR;;39.99;20,00;21.66;1;CADEX;QR skewer;;Gear;Component-S;Men's;2022;158A;;20titroadskewers;21,66;21,66;21,66
"300000052";;Rear (Shimano HG);"4713250851730";;CADEX FREE HUB BODY KITS SHIMANO 11 SPEED;;119.99;20,00;64.99;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;20cadexfreehubshiman;64,99;64,99;64,99
"300000053";;Rear (SRAM XDR);"4713250851747";;CADEX FREE HUB BODY KITS SRAM XDR 12 SPEED;;119.99;20,00;64.99;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;20cadexfreehubsram;64,99;64,99;64,99
"300000054";;;"4713250851754";;CADEX FRONT HUB BEARINGS RIM BRAKE;;39.99;20,00;21.66;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;21,66;21,66;21,66
"300000055";;;"4713250851761";;CADEX REAR HUB BEARINGS RIM BRAKE;;39.99;20,00;21.66;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;21,66;21,66;21,66
"300000056";;Black;"4713250851778";;CADEX GREASE FOR RACHETS 50G;;14.99;20,00;8.13;1;CADEX;Hub;;Gear;Component-S;Men's;2021;158B;;20cadexgrease;8,13;8,13;8,13
"300000057";;;"4713250851785";;CADEX RATCHET KIT(2 RATCHETS, 1 SPRING);;119.99;20,00;64.99;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;64,99;64,99;64,99
"300000058";;;"4713250851792";;CADEX HUB END CAP 100*5;;19.99;20,00;10.83;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;20cadexhubendcap;10,83;10,83;10,83
"300000059";;;"4713250851808";;CADEX HUB END CAP 130*5 SHIMANO 11 SPEED;;19.99;20,00;10.83;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;20cadexhubendcapshim;10,83;10,83;10,83
"300000060";;;"4713250851815";;CADEX HUB END CAP 100*12;;19.99;20,00;10.78;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;20cadexhubendcap12;10,78;10,78;10,78
"300000061";;;"4713250851822";;CADEX HUB END CAP 142*12 SHIMANO 11 SPEED;;19.99;20,00;10.83;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;10,83;10,83;10,83
"300000062";OSO;Black;"4713250851860";;CADEX HUB BEARING TOOL SET;;249.99;20,00;135.42;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;135,42;135,42;135,42
"300000063";;;"4713250851938";;CADEX FRONT HUB BEARINGS DISC BRAKE;;39.99;20,00;21.66;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;21,66;21,66;21,66
"300000064";;;"4713250851945";;CADEX REAR HUB BEARINGS DISC BRAKE;;39.99;20,00;21.66;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;21,66;21,66;21,66
"300000065";;;"4713250851952";;CADEX HUB END CAP 130*5 SRAM 12 SPEED;;19.99;20,00;10.83;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;20cadexhubendcapsram;10,83;10,83;10,83
"300000066";;;"4713250851969";;CADEX HUB END CAP 142*12 SRAM 12 SPEED;;19.99;20,00;10.83;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;20cadexhubendcap142s;10,83;10,83;10,83
"300000070";;;"4713250003184";;CADEX RB R HUB 11S 21X130 5MM BLA;;399.99;20,00;216.66;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;216,66;216,66;216,66
"300000072";;;"4713250003207";;CADEX DB R HUB 11S 24X142 12MM BLA;;399.99;20,00;216.66;1;CADEX;Hub;;Gear;Component-S;Men's;2022;158B;;;216,66;216,66;216,66
"300000074";;;"4713250010595";;2020 GIANT SLR1 FREE HUB BODY KITS SHIMANO 11S;;119.99;20,00;64.99;1;Giant;Hub;;Gear;Component-S;Men's;2022;158B;;21slr1freehubkit;64,99;64,99;64,99
